Ten Fold with Depth 2, initial sobolIdx 1, delay 0.
Value range index, Freq, Final Error, LowErrLen:
  0,   191, 0.407, 255.921
  1,   574, 0.152, 255.735
  2,   982, 0.089, 255.574
  3,  1377, 0.064, 255.195
  4,  1797, 0.053, 254.999
  5,  1834, 0.043, 254.606
  6,  1353, 0.037, 253.204
  7,  1058, 0.029, 246.467
  8,   609, 0.027, 222.491
  9,   225, 0.026, 150.444
 10,     0, -nan, -nan

Ten Fold with Depth 2, initial sobolIdx 2, delay 0.
Value range index, Freq, Final Error, LowErrLen:
  0,   207, 0.775, 255.913
  1,   607, 0.331, 255.277
  2,  1032, 0.122, 255.297
  3,  1358, 0.090, 255.148
  4,  1837, 0.078, 254.925
  5,  1724, 0.079, 254.882
  6,  1432, 0.073, 255.233
  7,   975, 0.069, 255.383
  8,   637, 0.066, 255.314
  9,   191, 0.044, 230.230
 10,     0, -nan, -nan

Ten Fold with Depth 2, initial sobolIdx 3, delay 0.
Value range index, Freq, Final Error, LowErrLen:
  0,   186, 0.361, 255.161
  1,   619, 0.271, 255.680
  2,   921, 0.132, 255.226
  3,  1389, 0.090, 254.679
  4,  1830, 0.063, 254.823
  5,  1814, 0.053, 254.906
  6,  1362, 0.050, 253.865
  7,  1026, 0.037, 247.346
  8,   620, 0.023, 232.503
  9,   233, 0.022, 192.730
 10,     0, -nan, -nan

Ten Fold with Depth 2, initial sobolIdx 4, delay 0.
Value range index, Freq, Final Error, LowErrLen:
  0,   184, 0.404, 255.478
  1,   589, 0.116, 255.479
  2,   958, 0.070, 255.491
  3,  1365, 0.055, 254.553
  4,  1828, 0.037, 253.566
  5,  1881, 0.031, 252.563
  6,  1401, 0.026, 247.263
  7,   992, 0.022, 230.017
  8,   604, 0.022, 199.603
  9,   198, 0.020, 144.066
 10,     0, -nan, -nan

Ten Fold with Depth 2, initial sobolIdx 5, delay 0.
Value range index, Freq, Final Error, LowErrLen:
  0,   188, 0.932, 256.000
  1,   584, 0.682, 256.000
  2,   982, 0.281, 255.871
  3,  1382, 0.171, 255.777
  4,  1812, 0.174, 254.347
  5,  1787, 0.146, 255.104
  6,  1404, 0.127, 255.533
  7,  1004, 0.096, 255.183
  8,   646, 0.057, 245.782
  9,   211, 0.018, 208.773
 10,     0, -nan, -nan

Ten Fold with Depth 2, initial sobolIdx 6, delay 0.
Value range index, Freq, Final Error, LowErrLen:
  0,   208, 0.663, 255.495
  1,   636, 0.106, 255.047
  2,   986, 0.099, 255.254
  3,  1352, 0.080, 254.767
  4,  1753, 0.066, 254.829
  5,  1860, 0.054, 254.373
  6,  1406, 0.034, 248.163
  7,  1000, 0.037, 238.912
  8,   610, 0.042, 239.869
  9,   189, 0.040, 215.106
 10,     0, -nan, -nan

Ten Fold with Depth 2, initial sobolIdx 7, delay 0.
Value range index, Freq, Final Error, LowErrLen:
  0,   192, 0.507, 255.552
  1,   610, 0.187, 254.943
  2,   973, 0.213, 255.234
  3,  1360, 0.237, 255.518
  4,  1779, 0.238, 255.467
  5,  1846, 0.192, 255.365
  6,  1406, 0.120, 254.174
  7,  1039, 0.068, 250.328
  8,   560, 0.080, 254.555
  9,   233, 0.048, 202.901
 10,     2, 0.000, 0.000

Ten Fold with Depth 2, initial sobolIdx 8, delay 0.
Value range index, Freq, Final Error, LowErrLen:
  0,   203, 0.441, 255.227
  1,   600, 0.446, 255.960
  2,  1012, 0.342, 255.817
  3,  1365, 0.253, 255.483
  4,  1728, 0.180, 255.176
  5,  1878, 0.141, 254.817
  6,  1394, 0.110, 255.279
  7,   988, 0.101, 249.782
  8,   615, 0.101, 255.093
  9,   217, 0.045, 210.816
 10,     0, -nan, -nan

Ten Fold with Depth 2, initial sobolIdx 9, delay 0.
Value range index, Freq, Final Error, LowErrLen:
  0,   193, 0.334, 253.409
  1,   625, 0.131, 252.878
  2,   951, 0.077, 253.341
  3,  1358, 0.056, 251.469
  4,  1827, 0.042, 249.753
  5,  1846, 0.037, 252.226
  6,  1417, 0.029, 253.475
  7,   944, 0.027, 251.783
  8,   611, 0.023, 241.272
  9,   228, 0.023, 151.697
 10,     0, -nan, -nan

Ten Fold with Depth 2, initial sobolIdx 10, delay 0.
Value range index, Freq, Final Error, LowErrLen:
  0,   202, 1.186, 256.000
  1,   583, 0.710, 256.000
  2,  1010, 0.332, 252.748
  3,  1410, 0.156, 250.270
  4,  1827, 0.159, 250.021
  5,  1853, 0.135, 251.608
  6,  1365, 0.120, 250.149
  7,   934, 0.093, 247.350
  8,   613, 0.053, 239.374
  9,   203, 0.027, 188.631
 10,     0, -nan, -nan
