256 bit delayed
Ten Fold with Depth 4, initial sobolIdx 1, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9485, 0.621, 252.769
  1,  9916, 0.282, 248.387
  2, 10095, 0.233, 250.426
  3, 10071, 0.173, 246.141
  4, 10044, 0.145, 247.020
  5, 10208, 0.150, 246.473
  6, 10196, 0.143, 244.802
  7,  9796, 0.107, 233.623
  8, 10145, 0.064, 229.214
  9,  9647, 0.033, 180.840
 10,   397, 0.038, 111.882

Ten Fold with Depth 4, initial sobolIdx 2, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9679, 0.745, 255.509
  1,  9985, 0.312, 255.489
  2,  9986, 0.197, 255.147
  3, 10084, 0.161, 253.706
  4, 10019, 0.157, 246.296
  5,  9987, 0.116, 250.278
  6, 10117, 0.089, 252.893
  7, 10105, 0.083, 249.344
  8,  9927, 0.064, 243.634
  9,  9706, 0.038, 202.473
 10,   405, 0.024, 155.442

Ten Fold with Depth 4, initial sobolIdx 3, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9648, 0.703, 255.622
  1,  9995, 0.231, 255.527
  2, 10045, 0.149, 255.445
  3,  9959, 0.122, 255.086
  4,  9960, 0.103, 255.041
  5, 10250, 0.085, 253.855
  6,  9995, 0.068, 252.346
  7,  9991, 0.052, 247.943
  8, 10047, 0.046, 241.741
  9,  9719, 0.034, 195.382
 10,   391, 0.030, 132.391

Ten Fold with Depth 4, initial sobolIdx 4, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9656, 0.739, 255.523
  1,  9981, 0.258, 255.542
  2, 10304, 0.213, 255.649
  3,  9918, 0.160, 255.303
  4,  9975, 0.115, 254.530
  5,  9881, 0.101, 254.257
  6, 10044, 0.089, 253.050
  7, 10021, 0.072, 250.423
  8, 10106, 0.058, 244.823
  9,  9725, 0.039, 200.801
 10,   389, 0.049, 125.018

Ten Fold with Depth 4, initial sobolIdx 5, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9443, 0.669, 255.391
  1, 10074, 0.310, 255.705
  2, 10159, 0.218, 255.603
  3, 10126, 0.150, 254.994
  4,  9753, 0.102, 254.822
  5, 10036, 0.083, 254.428
  6, 10129, 0.071, 253.652
  7, 10124, 0.055, 249.775
  8,  9973, 0.046, 241.211
  9,  9783, 0.031, 185.070
 10,   400, 0.030, 87.287

Ten Fold with Depth 4, initial sobolIdx 6, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9625, 1.287, 255.131
  1, 10092, 0.377, 255.202
  2,  9907, 0.247, 255.406
  3, 10224, 0.173, 255.101
  4,  9900, 0.138, 255.071
  5, 10096, 0.110, 254.557
  6,  9995, 0.091, 253.368
  7, 10126, 0.065, 249.031
  8, 10020, 0.049, 235.575
  9,  9636, 0.032, 191.961
 10,   379, 0.028, 149.285

Ten Fold with Depth 4, initial sobolIdx 7, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9649, 0.650, 255.157
  1,  9852, 0.222, 255.127
  2, 10104, 0.211, 255.732
  3,  9980, 0.143, 255.101
  4,  9839, 0.109, 252.746
  5, 10275, 0.095, 251.439
  6, 10131, 0.074, 251.946
  7,  9927, 0.051, 249.928
  8, 10238, 0.047, 244.255
  9,  9641, 0.035, 200.386
 10,   364, 0.000, 120.728

Ten Fold with Depth 4, initial sobolIdx 8, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9567, 0.661, 255.389
  1, 10098, 0.265, 255.726
  2, 10098, 0.173, 255.661
  3,  9944, 0.132, 255.484
  4,  9795, 0.116, 254.734
  5, 10161, 0.082, 253.400
  6, 10082, 0.067, 252.457
  7,  9978, 0.056, 248.251
  8, 10237, 0.045, 234.547
  9,  9657, 0.031, 198.305
 10,   383, 0.036, 146.520

Ten Fold with Depth 4, initial sobolIdx 9, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9612, 1.224, 255.473
  1, 10062, 0.250, 255.819
  2,  9892, 0.181, 255.667
  3, 10073, 0.152, 255.315
  4,  9970, 0.118, 253.947
  5, 10200, 0.098, 253.460
  6, 10025, 0.072, 253.135
  7, 10074, 0.053, 248.763
  8,  9957, 0.049, 241.082
  9,  9732, 0.038, 197.083
 10,   403, 0.040, 124.561

Ten Fold with Depth 4, initial sobolIdx 10, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9688, 1.537, 255.043
  1, 10052, 0.471, 254.349
  2, 10183, 0.305, 255.225
  3, 10004, 0.212, 254.424
  4,  9993, 0.143, 251.219
  5, 10092, 0.114, 248.641
  6, 10035, 0.084, 246.644
  7,  9933, 0.061, 235.584
  8,  9992, 0.047, 220.642
  9,  9619, 0.030, 172.130
 10,   409, 0.034, 87.105




Ten Fold with Depth 2, initial sobolIdx 1, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9600, 0.613, 250.464
  1,  9951, 0.241, 245.249
  2,  9888, 0.203, 249.217
  3,  9948, 0.154, 248.294
  4, 10011, 0.126, 246.062
  5, 10190, 0.095, 242.365
  6, 10144, 0.077, 237.221
  7,  9976, 0.063, 215.374
  8, 10112, 0.049, 188.048
  9,  9803, 0.031, 170.444
 10,   377, 0.024, 142.769

Ten Fold with Depth 2, initial sobolIdx 2, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9776, 0.743, 255.234
  1,  9975, 0.253, 254.658
  2, 10151, 0.152, 255.085
  3, 10002, 0.155, 254.917
  4,  9816, 0.113, 250.013
  5, 10237, 0.081, 250.556
  6, 10055, 0.063, 248.051
  7, 10038, 0.055, 243.255
  8, 10034, 0.044, 230.707
  9,  9536, 0.032, 189.335
 10,   380, 0.044, 145.516

Ten Fold with Depth 2, initial sobolIdx 3, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9462, 0.727, 255.758
  1, 10150, 0.275, 255.660
  2, 10026, 0.219, 255.646
