
Ten Fold with Depth 2, initial sobolIdx 1, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,     0, -nan, -nan
  1,     0, -nan, -nan
  2, 18142, 0.008, 177.634
  3, 28782, 0.049, 229.145
  4, 22321, 0.072, 256.000
  5, 18419, 0.057, 255.657
  6, 12336, 0.071, 256.000
  7,     0, -nan, -nan
  8,     0, -nan, -nan
  9,     0, -nan, -nan
 10,     0, -nan, -nan

Ten Fold with Depth 2, initial sobolIdx 2, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,     0, -nan, -nan
  1,     0, -nan, -nan
  2, 18098, 0.029, 211.867
  3, 28919, 0.032, 183.826
  4, 22148, 0.039, 193.318
  5, 18360, 0.012, 108.770
  6, 12475, 0.012, 104.806
  7,     0, -nan, -nan
  8,     0, -nan, -nan
  9,     0, -nan, -nan
 10,     0, -nan, -nan

Ten Fold with Depth 2, initial sobolIdx 3, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,     0, -nan, -nan
  1,     0, -nan, -nan
  2, 17950, 0.022, 147.106
  3, 28931, 0.028, 174.780
  4, 22133, 0.035, 225.743
  5, 18570, 0.049, 223.356
  6, 12416, 0.063, 255.968
  7,     0, -nan, -nan
  8,     0, -nan, -nan
  9,     0, -nan, -nan
 10,     0, -nan, -nan

Ten Fold with Depth 2, initial sobolIdx 4, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,     0, -nan, -nan
  1,     0, -nan, -nan
  2, 18103, 0.009, 154.049
  3, 28795, 0.032, 180.143
  4, 22017, 0.054, 222.311
  5, 18510, 0.015, 107.460
  6, 12575, 0.015, 124.473
  7,     0, -nan, -nan
  8,     0, -nan, -nan
  9,     0, -nan, -nan
 10,     0, -nan, -nan

Ten Fold with Depth 2, initial sobolIdx 5, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,     0, -nan, -nan
  1,     0, -nan, -nan
  2, 17868, 0.012, 187.384
  3, 28694, 0.040, 197.488
  4, 22398, 0.065, 253.450
  5, 18539, 0.052, 203.112
  6, 12501, 0.066, 255.832
  7,     0, -nan, -nan
  8,     0, -nan, -nan
  9,     0, -nan, -nan
 10,     0, -nan, -nan

Ten Fold with Depth 2, initial sobolIdx 6, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,     0, -nan, -nan
  1,     0, -nan, -nan
  2, 18040, 0.010, 111.067
  3, 29095, 0.028, 144.858
  4, 21941, 0.045, 233.920
  5, 18238, 0.016, 83.981
  6, 12686, 0.008, 38.786
  7,     0, -nan, -nan
  8,     0, -nan, -nan
  9,     0, -nan, -nan
 10,     0, -nan, -nan

Ten Fold with Depth 2, initial sobolIdx 7, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,     0, -nan, -nan
  1,     0, -nan, -nan
  2, 17941, 0.007, 97.428
  3, 29125, 0.028, 187.767
  4, 22030, 0.018, 99.466
  5, 18402, 0.037, 157.325
  6, 12502, 0.024, 68.983
  7,     0, -nan, -nan
  8,     0, -nan, -nan
  9,     0, -nan, -nan
 10,     0, -nan, -nan

Ten Fold with Depth 2, initial sobolIdx 8, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,     0, -nan, -nan
  1,     0, -nan, -nan
  2, 17903, 0.008, 187.925
  3, 29125, 0.035, 232.250
  4, 22509, 0.046, 189.036
  5, 18171, 0.050, 178.072
  6, 12292, 0.046, 170.243
  7,     0, -nan, -nan
  8,     0, -nan, -nan
  9,     0, -nan, -nan
 10,     0, -nan, -nan

Ten Fold with Depth 2, initial sobolIdx 9, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,     0, -nan, -nan
  1,     0, -nan, -nan
  2, 17933, 0.032, 212.619
  3, 28670, 0.056, 190.470
  4, 22535, 0.040, 164.755
  5, 18489, 0.021, 125.242
  6, 12373, 0.014, 42.110
  7,     0, -nan, -nan
  8,     0, -nan, -nan
  9,     0, -nan, -nan
 10,     0, -nan, -nan

Ten Fold with Depth 2, initial sobolIdx 10, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,     0, -nan, -nan
  1,     0, -nan, -nan
  2, 18149, 0.009, 201.761
  3, 28740, 0.027, 142.864
  4, 22073, 0.019, 127.904
  5, 18502, 0.009, 115.874
  6, 12536, 0.009, 93.425
  7,     0, -nan, -nan
  8,     0, -nan, -nan
  9,     0, -nan, -nan
 10,     0, -nan, -nan
