Ten Fold with Depth 3, initial sobolIdx 1, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,     0, -nan, -nan
  1,     0, -nan, -nan
  2,     0, -nan, -nan
  3,     0, -nan, -nan
  4,     0, -nan, -nan
  5, 60063, 0.000, 22.249
  6, 10154, 0.000, 32.072
  7,  9710, 0.000, 20.748
  8,  9940, 0.000, 19.342
  9,  9716, 0.000, 129.878
 10,   417, 0.000, 256.000

Ten Fold with Depth 3, initial sobolIdx 2, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,     0, -nan, -nan
  1,     0, -nan, -nan
  2,     0, -nan, -nan
  3,     0, -nan, -nan
  4,     0, -nan, -nan
  5, 59800, 0.000, 23.398
  6, 10192, 0.000, 42.199
  7,  9808, 0.000, 33.179
  8, 10096, 0.000, 23.853
  9,  9692, 0.000, 131.538
 10,   412, 0.000, 256.000

Ten Fold with Depth 3, initial sobolIdx 3, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,     0, -nan, -nan
  1,     0, -nan, -nan
  2,     0, -nan, -nan
  3,     0, -nan, -nan
  4,     0, -nan, -nan
  5, 59656, 0.000, 21.750
  6, 10206, 0.000, 34.616
  7,  9817, 0.000, 26.528
  8, 10230, 0.000, 19.948
  9,  9680, 0.000, 131.153
 10,   411, 0.000, 256.000

Ten Fold with Depth 3, initial sobolIdx 4, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,     0, -nan, -nan
  1,     0, -nan, -nan
  2,     0, -nan, -nan
  3,     0, -nan, -nan
  4,     0, -nan, -nan
  5, 59865, 0.000, 21.614
  6, 10064, 0.000, 30.861
  7,  9636, 0.000, 24.150
  8, 10186, 0.000, 18.192
  9,  9844, 0.000, 131.206
 10,   405, 0.000, 256.000

Ten Fold with Depth 3, initial sobolIdx 5, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,     0, -nan, -nan
  1,     0, -nan, -nan
  2,     0, -nan, -nan
  3,     0, -nan, -nan
  4,     0, -nan, -nan
  5, 60048, 0.000, 21.626
  6, 10056, 0.000, 29.099
  7,  9674, 0.000, 28.340
  8, 10165, 0.000, 24.731
  9,  9658, 0.000, 134.183
 10,   399, 0.000, 256.000

Ten Fold with Depth 3, initial sobolIdx 6, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,     0, -nan, -nan
  1,     0, -nan, -nan
  2,     0, -nan, -nan
  3,     0, -nan, -nan
  4,     0, -nan, -nan
  5, 59808, 0.000, 22.200
  6, 10131, 0.000, 38.267
  7,  9683, 0.000, 24.895
  8, 10233, 0.000, 17.484
  9,  9762, 0.000, 130.792
 10,   383, 0.000, 256.000

Ten Fold with Depth 3, initial sobolIdx 7, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,     0, -nan, -nan
  1,     0, -nan, -nan
  2,     0, -nan, -nan
  3,     0, -nan, -nan
  4,     0, -nan, -nan
  5, 59682, 0.000, 23.328
  6, 10184, 0.000, 40.112
  7,  9865, 0.000, 29.677
  8, 10098, 0.000, 27.757
  9,  9760, 0.000, 135.823
 10,   411, 0.000, 256.000

Ten Fold with Depth 3, initial sobolIdx 8, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,     0, -nan, -nan
  1,     0, -nan, -nan
  2,     0, -nan, -nan
  3,     0, -nan, -nan
  4,     0, -nan, -nan
  5, 59655, 0.000, 21.389
  6, 10051, 0.000, 31.612
  7,  9848, 0.000, 24.603
  8, 10157, 0.000, 16.438
  9,  9906, 0.000, 128.426
 10,   383, 0.000, 256.000

Ten Fold with Depth 3, initial sobolIdx 9, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,     0, -nan, -nan
  1,     0, -nan, -nan
  2,     0, -nan, -nan
  3,     0, -nan, -nan
  4,     0, -nan, -nan
  5, 59652, 0.000, 21.390
  6, 10018, 0.000, 33.223
  7,  9831, 0.000, 20.880
  8, 10202, 0.000, 19.709
  9,  9901, 0.000, 129.205
 10,   396, 0.000, 256.000

Ten Fold with Depth 3, initial sobolIdx 10, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,     0, -nan, -nan
  1,     0, -nan, -nan
  2,     0, -nan, -nan
  3,     0, -nan, -nan
  4,     0, -nan, -nan
  5, 59768, 0.000, 22.030
  6, 10177, 0.000, 34.265
  7,  9720, 0.000, 27.417
  8, 10170, 0.000, 16.796
  9,  9785, 0.000, 129.910
 10,   380, 0.000, 256.000
