Ten Fold with Depth 4, initial sobolIdx 1, delay 0.
Value range index, Freq, Final Error, LowErrLen:
  0,   801, 5.969, 256.000
  1,  3177, 2.171, 256.000
  2,  5148, 1.052, 256.000
  3,  6610, 0.582, 256.000
  4,  9016, 0.348, 256.000
  5, 11130, 0.183, 256.000
  6, 12824, 0.104, 255.974
  7, 14817, 0.037, 251.785
  8, 17264, 0.021, 247.369
  9, 18806, 0.014, 120.440
 10,   407, 0.000, 37.000

Ten Fold with Depth 4, initial sobolIdx 2, delay 0.
Value range index, Freq, Final Error, LowErrLen:
  0,   765, 2.507, 256.000
  1,  3060, 0.856, 256.000
  2,  5139, 0.325, 256.000
  3,  6534, 0.286, 256.000
  4,  9055, 0.161, 256.000
  5, 11406, 0.053, 254.582
  6, 13145, 0.052, 253.106
  7, 14796, 0.034, 249.990
  8, 17059, 0.026, 207.327
  9, 18667, 0.022, 129.697
 10,   374, 0.000, 39.000

Ten Fold with Depth 4, initial sobolIdx 3, delay 0.
Value range index, Freq, Final Error, LowErrLen:
  0,   797, 1.921, 256.000
  1,  3016, 1.299, 256.000
  2,  5037, 0.856, 256.000
  3,  6645, 0.468, 256.000
  4,  8981, 0.248, 256.000
  5, 11498, 0.106, 255.588
  6, 12996, 0.049, 254.078
  7, 14794, 0.019, 250.799
  8, 17159, 0.016, 198.043
  9, 18688, 0.022, 116.528
 10,   389, 0.000, 39.000

Ten Fold with Depth 4, initial sobolIdx 4, delay 0.
Value range index, Freq, Final Error, LowErrLen:
  0,   790, 1.064, 256.000
  1,  3245, 0.410, 256.000
  2,  5022, 0.555, 256.000
  3,  6674, 0.216, 256.000
  4,  8847, 0.177, 256.000
  5, 11321, 0.156, 256.000
  6, 12769, 0.072, 253.623
  7, 14844, 0.068, 254.429
  8, 17151, 0.038, 213.995
  9, 18967, 0.018, 192.698
 10,   370, 0.000, 36.000

Ten Fold with Depth 4, initial sobolIdx 5, delay 0.
Value range index, Freq, Final Error, LowErrLen:
  0,   788, 0.300, 250.289
  1,  3134, 0.172, 255.241
  2,  4981, 0.271, 256.000
  3,  6806, 0.341, 256.000
  4,  8858, 0.159, 255.738
  5, 11522, 0.093, 254.237
  6, 12857, 0.034, 249.866
  7, 14856, 0.028, 250.085
